Accession;Region;Zone;District;Locality;Lat;Long;Edate;Hdate;Mdate;GfilP;PL;Ptype;SC
18411;Oromiya;West Shewa;ELU;Sliluu;08-58-09-N;37-19-35-E;5;50;98;48;33;3;3
18412;Oromiya;West Shewa;ELU;Sliluu /Girmi/;08-57-56-N;37-19-29-E;7;57;101;44;32;3;4
18413;Oromiya;West Shewa;ELU;Sliluu /Abono/;08-58-15-N;37-19-43-E;7;50;99;49;23;3;4
18414;Oromiya;West Shewa;ELU;Alanoo /Haroji /;08-54-56-N;37-19-32-E;7;45;93;48;38;2;4
18415;Oromiya;West Shewa;ELU;Alanoo /Haroji /;08-54-54-N;37-19-33-E;7;56;102;46;24;3;4
18416;Oromiya;West Shewa;DANO;Daboo;08-44-59-N;37-15-08-E;5;49;97;48;36;2;3
18417;Oromiya;West Shewa;DANO;Ajila;08-42-05-N;37-16-01-E;5;49;97;48;23;3;2
18418;Oromiya;West Shewa;DANO;Bilbila;08-39-29-N;37-15-09-E;5;49;97;48;39;3;2
18419;Oromiya;West Shewa;DANO;Barazafii;08-40-33-N;37-16-22-E;5;50;97;47;21;2;3
18420;Oromiya;West Shewa;CHELIYA;Goda Hordof;09-01-45-N;37-26-33-E;5;51;97;46;33;2;5
18421;Oromiya;West Shewa;CHELIYA;Sokondo;09-01-23-N;37-25-18-E;5;50;97;47;32;2;3
18422;Oromiya;West Shewa;CHELIYA;Katallu;08-58-45-N;37-28-05-E;5;50;97;47;23;2;3
18423;Oromiya;West Shewa;CHELIYA;Wlkoortu / Bayimo;08-58-46-N;37-28-06-E;5;48;97;49;24;2;3
18424;Oromiya;West Shewa;CHELIYA;Dalatti;09-03-04-N;37-26-24-E;7;49;97;48;23;2;3
18426;Oromiya;West Shewa;TOK KUTEYA;Birbrssa/Degame;08-56-23-N;37-44-49-E;7;47;97;50;39;2;3
18427;Oromiya;West Shewa;TOK KUTEYA;Degoma;08-51-35-N;37-45-30-E;7;47;97;50;21;2;3
18428;Oromiya;West Shewa;TOK KUTEYA;Mamt;08-51-02-N;37-45-56-E;7;48;97;49;25;2;2
18429;Oromiya;West Shewa;TOK KUTEYA;Memt;08-51-03-N;37-45-57-E;7;48;97;49;42;3;3
18430;Oromiya;West Shewa;TOK KUTEYA;Birbrssa/Degame;08-55-37-N;37-44-48-E;7;48;100;52;40;3;4
18431;Oromiya;West Shewa;TOK KUTEYA;Birbrssa/Degame;08-55-38-N;37-44-48-E;8;44;94;50;35;3;4
18433;Oromiya;West Shewa;WALMARA;Golole kunbi;09-07-56-N;38-26-15-E;5;44;94;50;25;2;3
18434;Oromiya;West Shewa;WALMARA;Koye;09-08-12-N;38-26-44-E;5;45;95;50;42;2;3
18435;Oromiya;West Shewa;WALMARA;Doliyo;09-06-44-N;38-28-20-E;5;44;95;51;40;2;3
18436;Oromiya;West Shewa;WALMARA;Urane;09-05-25-N;38-31-52-E;5;43;94;51;35;2;3
18437;Oromiya;West Shewa;WALMARA;Didimitu;09-04-40-N;38-32-25-E;7;44;95;51;40;2;3
18438;Oromiya;West Shewa;WALMARA;Boku;09-03-14-N;38-31-15-E;7;43;94;51;27;2;3
18439;Oromiya;West Shewa;WALMARA;Harbu;09-01-23-N;38-28-41-E;8;43;95;52;37;2;3
18440;Oromiya;East Shewa;ADA'A CHUKALA;Malimo / Kafabal;08-50-38-N;39-00-51-E;5;45;95;50;29;2;3
18441;Oromiya;East Shewa;ADA'A CHUKALA;Kitila / Ambalta;08-54-03-N;39-03-31-E;7;44;95;51;25;2;3
18442;Oromiya;East Shewa;ADA'A CHUKALA;Kikee / Kafasal;08-52-47-N;39-01-58-E;7;50;100;50;40;3;3
18443;Oromiya;East Shewa;ADA'A CHUKALA;Kike / Katabal;08-52-54-N;39-01-49-E;5;45;94;49;23;2;3
18444;Oromiya;East Shewa;ADA'A CHUKALA;Kike / Katabal;08-52-55-N;39-01-49-E;5;44;94;50;21;2;3
18445;Amara;North Shewa;MAFUDMEZEZO MOJANA;NA;09-39-41-N;39-09-54-E;5;49;100;51;27;3;3
18446;Oromiya;East Shewa;LOME;NA;08-40-11-N;39-09-26-E;7;49;100;51;37;3;4
18447;Oromiya;East Shewa;LOME;Jlinsilqde;08-41-25-N;39-08-12-E;5;45;95;50;29;3;4
18448;Oromiya;East Shewa;LOME;Jimiinsiole;08-41-22-N;39-08-12-E;5;44;95;51;24;2;4
18449;Oromiya;East Shewa;LOME;Keltuibajaa;08-42-38-N;39-08-35-E;5;50;98;48;25;3;3
18450;Oromiya;East Shewa;LOME;Kertu Basa;08-48-37-N;39-08-37-E;5;45;94;49;18;2;4
18451;Oromiya;East Shewa;LOME;Yarafineawa;08-39-40-N;39-11-34-E;5;43;94;51;23;3;3
18452;Oromiya;East Shewa;LOME;Kora fincowo;08-39-58-N;39-11-02-E;5;49;100;51;21;3;4
18453;Oromiya;East Shewa;LOME;Elwio;08-47-38-N;39-16-03-E;5;43;95;52;23;2;4
18454;Oromiya;East Shewa;LOME;Oekbor kana;08-42-22-N;39-34-08-E;5;43;95;52;40;2;3
18455;Oromiya;North Shewa;LEBAN CHUKALA;Dololo Jela;08-34-50-N;38-53-53-E;5;51;104;53;38;2;4
18456;Oromiya;North Shewa;LEBAN CHUKALA;Dololo Jela;08-34-54-N;38-53-51-E;5;45;95;50;36;2;4
18457;Oromiya;North Shewa;LEBAN CHUKALA;Dololo Jela;08-34-54-N;38-52-49-E;5;45;95;50;24;3;3
18458;Oromiya;North Shewa;LEBEN CHUKELA;Dololo Jela;08-34-55-N;38-52-50-E;5;51;104;53;18;3;5
18459;Oromiya;North Shewa;LEBAN CHUKALA;Wenber;08-34-34-N;38-51-16-E;5;44;95;51;33;2;3
18460;Oromiya;North Shewa;LEBAN CHUKALA;Wenber;08-34-29-N;38-51-26-E;7;55;98;43;23;3;5
18461;Oromiya;North Shewa;LEBAN CHUKALA;Wera Jerso;08-34-37-N;38-49-13-E;7;54;100;46;40;3;5
18462;Oromiya;North Shewa;LEBAN CHUKALA;Wera Jerso;08-34-41-N;38-49-12-E;7;45;95;50;38;3;5
18463;Oromiya;North Shewa;LEBEN CHUKELA;Adele Menche;08-30-36-N;38-54-38-E;7;48;97;49;36;3;5
18464;Oromiya;North Shewa;LEBAN CHUKALA;Leben Gadwa;08-29-22-N;39-55-29-E;7;45;97;52;19;2;2
18465;Oromiya;North Shewa;LEBAN CHUKALA;Leben Gadwa;08-29-22-N;38-55-28-E;7;48;98;50;33;3;5
18466;Oromiya;North Shewa;LEBAN CHUKALA;Leben Gadwa;08-28-54-N;38-56-08-E;7;49;100;51;34;3;4
18467;Oromiya;North Shewa;LEBAN CHUKALA;Leben Gadwa;08-28-55-N;39-56-10-E;7;45;94;49;16;2;3
18468;Oromiya;North Shewa;LEBEN CHUKELA;Adele Menche;08-29-42-N;38-53-29-E;5;47;99;52;21;3;5
18469;Oromiya;North Shewa;LEBAN CHUKALA;Adele Menche;08-29-44-N;38-53-29-E;7;43;86;43;35;2;3
18470;Oromiya;North Shewa;LEBAN CHUKALA;Oda Jida;08-29-10-N;38-52-12-E;7;43;93;50;18;2;3
18471;Amara;North Shewa;BASO & WERENA;Eashe Bade / Keyaffa;09-46-25-N;39-25-11-E;7;50;101;51;35;3;5
18473;Amara;North Shewa;MAFUDMEZEZO MOJANA;Enbay Bad;08-56-20-N;39-32-27-E;7;48;94;46;25;2;3
18474;Amara;North Shewa;MAFUDMEZEZO MOJANA;Kelem Washa dega;09-55-59-N;39-27-11-E;8;46;97;51;20;2;5
18475;Amara;North Shewa;MAFUDMEZEZO MOJANA;Kelem Washa dega;09-55-59-N;39-27-10-E;8;45;94;49;20;2;3
18476;Amara;North Shewa;MAFUDMEZEZO MOJANA;Iyica;09-55-30-N;39-26-49-E;5;49;101;52;20;2;5
18477;Amara;North Shewa;MAFUDMEZEZO MOJANA;Zubamba/Akmaa mesk/;09-58-57-N;39-36-42-E;5;46;101;55;20;2;5
18478;Amara;North Shewa;MAFUDMEZEZO MOJANA;Zubamba;09-59-22-N;39-36-04-E;5;56;102;46;25;2;4
18479;Amara;North Shewa;MAFUDMEZEZO MOJANA;Zubamba;08-59-21-N;39-36-04-E;7;45;94;49;26;2;3
18480;Amara;North Shewa;MENZ GERA;Tsohaysina /08/;10-18-45-N;39-35-35-E;8;51;103;52;24;2;2
18481;Amara;North Shewa;MENZ KEYA;Bostabert / 02/;10-12-04-N;39-26-06-E;5;51;96;45;25;2;2
18482;Amara;North Shewa;MENZ KEYA;Astaberet;10-12-03-N;39-25-55-E;5;50;104;54;38;3;5
18483;Amara;North Shewa;MENZ KEYA;Astabert;10-12-06-N;39-23-53-E;7;42;90;48;19;2;4
18484;Amara;North Shewa;MENZ KEYA;NA;10-10-55-N;39-25-29-E;7;45;89;44;18;2;2
18485;Amara;North Shewa;MENZ KEYA;Kormta /04/;10-09-05-N;39-24-55-E;5;45;95;50;34;2;3
18486;Amara;North Shewa;MENZ KEYA;Kormta /04/;10-09-02-N;39-24-58-E;5;45;94;49;28;3;4
18487;Amara;North Shewa;MENZ KEYA;Koremta;10-08-52-N;39-24-56-E;5;45;95;50;25;3;3
18488;Oromiya;North Shewa;WARA JARSO;Wale Cilalo;09-57-27-N;38-17-58-E;5;51;99;48;20;3;4
18489;Oromiya;North Shewa;WARA JARSO;Wale Cilalo;09-57-30-N;38-17-26-E;7;43;95;52;28;2;3
18490;Oromiya;North Shewa;WARA JARSO;Jarso Tuti;09-50-33-N;38-15-41-E;5;50;98;48;27;2;5
18491;Oromiya;North Shewa;WARA JARSO;Jltutu;09-50-36-N;38-15-41-E;5;45;95;50;29;2;3
18492;Oromiya;North Shewa;WARA JARSO;Wale Cilalo site Cilalo;09-57-37-N;38-18-04-E;7;52;96;44;20;3;5
18493;Oromiya;North Shewa;WARA JARSO;Nunu Gondine;09-57-34-N;38-22-41-E;5;51;96;45;20;3;3
18494;Oromiya;North Shewa;WARA JARSO;Nunu Godine;09-54-37-N;38-22-28-E;5;55;101;46;23;3;5
18495;Oromiya;North Shewa;DEBRE LIBANOS;Adis Ale / Jorigodi /;09-43-32-N;38-50-21-E;7;48;97;49;25;3;5
18496;Oromiya;North Shewa;DEBRE LIBANOS;Adis Alem / Jori /;09-43-33-N;38-50-23-E;5;51;98;47;26;3;5
18497;Oromiya;North Shewa;DEBRE LIBANOS;Adis Alem;09-43-57-N;38-50-40-E;8;52;99;47;32;2;5
18498;Oromiya;North Shewa;DEBRE LIBANOS;Dire Jibo;09-39-09-N;38-51-37-E;7;43;95;52;36;2;3
18499;Oromiya;North Shewa;DEBRE LIBANOS;Dire Jibo aogoo Fantalle;09-40-06-N;38-52-50-E;8;49;100;51;36;2;5
18500;Oromiya;North Shewa;DEBRE LIBANOS;Adis Alem / Jorigogsi/;09-38-47-N;38-46-48-E;8;45;91;46;20;2;2
18501;Oromiya;North Shewa;DEBRE LIBANOS;Sone / Buxuli /;09-39-30-N;38-45-06-E;8;57;104;47;28;2;4
